verbatimScientificName,common_names,fr_common_names
Zenaida macroura,mourning dove,
Junco hyemalis,dark-eyed junco,
Haemorhous purpureus,purple finch,
Poecile atricapillus,Black-capped chickadee,
Columba livia,rock pigeon,
Cyanocitta cristata,blue jay,
Ardea alba,great egret,
Accipiter striatus,Sharp-shinned hawk,
Accipiter cooperii,Cooper's hawk,
Cardinalis cardinalis,northern cardinal,
Empidonax alnorum,alder flycatcher,
Corvus brachyrhynchos,American crow,
Agelaius phoeniceus,red-winged blackbird,
Anas platyrhynchos,mallard,
Mareca strepera,gadwall,
Sterna hirundo,Common tern,
Branta canadensis,Canada goose,
Phalacrocorax auritus,double-crested cormorant,
Haemorhous mexicanus,house finch,
Melospiza melodia,song sparrow,
Setophaga magnolia,Magnolia warbler,
Zonotrichia albicollis,white-throated sparrow,
Passer domesticus,House sparrow,
Spinus tristis,American goldfinch,
Spatula clypeata,Northern shoveler,
Setophaga coronata,yellow-rumped warbler,
Petrochelidon pyrrhonota,cliff swallow,
Dryobates pubescens,Downy woodpecker,
Buteo jamaicensis,red-tailed hawk,
Spizelloides arborea,American tree sparrow,
Euphagus carolinus,Rusty blackbird,
Vireo gilvus,warbling vireo,
Tachycineta bicolor,Tree swallow,
Dumetella carolinensis,grey catbird,
Geothlypis trichas,common yellowthroat,
Parkesia noveboracensis,northern waterthrush,
Bucephala clangula,common goldeneye,
Mniotilta varia,black-and-white warbler,
Buteo lineatus,red-shouldered hawk,
Setophaga castanea,bay-breasted warbler,
Chlidonias niger,black tern,
Turdus migratorius,American robin,
Sayornis phoebe,Eastern phoebe,
Bubo scandiacus,Snowy owl,
Mergus merganser,common merganser,
Charadrius vociferus,killdeer,
Sturnus vulgaris,Common starling,
Setophaga petechia,yellow warbler,
Anas crecca,Common teal,
Aythya marila,greater scaup,
Setophaga caerulescens,black-throated blue warbler,
Quiscalus quiscula,common grackle,
Spizella passerina,chipping sparrow,
Ardea herodias,great blue heron,
Corvus corax,Common raven,
Cathartes aura,turkey vulture,
Sitta canadensis,Red-breasted nuthatch,
Vireo olivaceus,red-eyed vireo,
Icterus galbula,Baltimore oriole,
Bombycilla cedrorum,cedar waxwing,
Buteo platypterus,broad-winged hawk,
Leiothlypis celata,orange-crowned warbler,
Troglodytes aedon,House wren,
Dryobates villosus,Hairy woodpecker,
Sphyrapicus varius,yellow-bellied sapsucker,
Spatula discors,blue-winged teal,
Tyrannus tyrannus,eastern kingbird,
Catharus ustulatus,Swainson's thrush,
Baeolophus bicolor,tufted titmouse,
Catharus guttatus,hermit thrush,
Chaetura pelagica,chimney swift,
Myiarchus crinitus,great crested flycatcher,
Anas rubripes,American black duck,
Regulus satrapa,golden-crowned kinglet,
Passerella iliaca,fox sparrow,
Aix sponsa,wood duck,
Passerculus sandwichensis,Savannah sparrow,
Setophaga palmarum,palm warbler,
Megascops asio,eastern screech-owl,
Bucephala albeola,bufflehead,
Megaceryle alcyon,belted kingfisher,
Mareca americana,American wigeon,
Porzana carolina,sora,
Aythya collaris,ring-necked duck,
Nycticorax nycticorax,black-crowned night-heron,
Cardellina canadensis,Canada warbler,
Tringa solitaria,solitary sandpiper,
Butorides virescens,green heron,
Gavia immer,great northern loon,
Cardellina pusilla,Wilson's warbler,
Vicia cracca,bird vetch,
Dissosteira carolina,Carolina grasshopper,
Pyrrharctia isabella,woolly bear,
Ulmus americana,American elm,
Semotilus atromaculatus,creek chub,
Trifolium repens,white clover,
Danaus plexippus,monarch butterfly,
Acer saccharum,sugar maple,
Colias philodice,clouded sulphur butterfly,
Sorbus aucuparia,rowan,
Acer negundo,box elder,
Solanum lycopersicum,tomato,
Polyommatus icarus,common blue,
Malacosoma disstria,forest tent caterpillar,
Nymphalis antiopa,mourning cloak,
Pheucticus ludovicianus,rose-breasted grosbeak,
Odocoileus virginianus,white-tailed deer,
Papilio polyxenes,black swallowtail,
Fagus grandifolia,American beech,
Verbascum thapsus,common mullein,
Acer pensylvanicum,striped maple,
Pinus strobus,Eastern white pine,
Mantis religiosa,praying mantis,
Chrysemys picta,Painted turtle,
Sciurus carolinensis,gray squirrel,
Marmota monax,woodchuck,
Catharus fuscescens,veery,
Fomitopsis betulina,razor strop fungus,
Polistes dominula,European paper wasp,
Araneus diadematus,European garden spider,
Procyon lotor,raccoon,
Perca flavescens,yellow perch,
Epicauta pensylvanica,black blister beetle,
Saponaria officinalis,common soapwort,
Lithobates pipiens,northern leopard frog,
Thryothorus ludovicianus,Carolina wren,
Bombus impatiens,common eastern bumble bee,
Columba livia domestica,rock pigeon,
Sanguinaria canadensis,red puccoon,
Anas acuta,northern pintail,
Sus scrofa domesticus,domestic pig,
Tamias striatus,eastern chipmunk,
Betula papyrifera,paper birch,
Scutigera coleoptrata,house centipede,
Succinea putris,European ambersnail,
Chauliognathus pensylvanicus,goldenrod soldier beetle,
Lymantria dispar,gypsy moth,
Blarina brevicauda,short-tailed shrew,
Aythya affinis,lesser scaup,
Sylvilagus floridanus,eastern cottontail,
Catocala relicta,white underwing,
Arabidopsis thaliana,thale cress,
Tamiasciurus hudsonicus,American red squirrel,
Alaus oculatus,big-eyed click beetle,
Vitis riparia,riverbank grape,
Phalangium opilio,common harvesterman,
Aesculus hippocastanum,common horse chestnut,
Aphis nerii,oleander aphid,
