"nom_arr","can_area","muni_area","perc_co","sp","rrar","abun","trunof","stand_run","polrem","stand_pol","carbon","stand_car","Sequestrat","stand_seq","Evap","stand_evap","mtl","order","cancarbon2","canrunoffavg","canseq2","canpoll"
"Le Plateau-Mont-Royal",1498471.28181,8151665.04797363,0.183823951670155,134,175.14,16553,14901.63648828,1828.04818409268,3005645.3589,368715.512869012,5333854,654326.934265522,78454.7,9624.37729448936,306030,37542.0234024549,1,"11",861310.74392,6109.6709601948,12668.864956,156002.24
"Ahuntsic-Cartierville",5766414.79282,24284186.5264893,0.237455546906213,180,200.345,26812,27691.801424,1140.32238196629,5583740.44205,229933.188660005,10954528.9,451097.214561862,159441.7,6565.65950134177,568412.2,23406.680696509,1,"4",1768937.326772,11353.63858384,25746.645716,289766.97
"Anjou",1424827.01333,13869123.7581787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",NA,NA,NA,NA
"Baire-D'Urfe",2243768.26818,6034955.47424316,0.371795331010522,64,74.656,1025,2073.58685856,343.596049284862,399793.15385,66246.2474754443,4294215.6,711557.130508661,11992.6,1987.18947491555,30004.5,4971.78481731265,0,"A",693429.935088,850.1706120096,1936.565048,20286.37
"Beaconsfield",4666981.95549,10978534.6085205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,NA,NA,NA
"Côte-des-Neiges–Notre-Dame-de-Grâce",5356452.40228,21474263.0325928,0.249435912848333,182,193.764,26609,29453.02642578,1371.55004486428,5934633.29345,276360.277623621,11629602.2,541560.014532236,158540,7382.79119331706,603863.3,28120.3270670328,1,"5",1877948.163256,12075.7408345698,25601.0392,307997.98
"Cote-Saint-Luc",983297.31959,6846893.32653809,0.143612186242015,79,89.081,5237,6085.16218162,888.747916961746,1091257.9503,159380.013424535,2053078.23,299855.442765905,31767.65,4639.71738494461,56710.87,8282.71557557244,0,"F",331531.0725804,2494.9164944642,5129.840122,60843.57
"Dollard-Des-Ormeaux",3307234.6625,15065111.1972656,0.219529389408043,104,118.449,10598,10377.8900204,688.869128445838,2001626.9666,132865.064212955,3065951.4,203513.360097633,51084.7,3390.92750999887,150734,10005.5019857642,0,"C",495089.832072,4254.934908364,8249.157356,101618.41
"Dorval",2331640.45982,21114079.831665,0.110430597895306,62,86.499,31223,14857.88165434,703.695437963508,2859437.4053,135427.990615611,3458971.3,163822.971570494,79212.5,3751.64348299963,214835.3,10174.9781052646,0,"E",558554.685524,6091.7314782794,12791.2345,145312.55
"Hampstead",482281.15477,1776841.14685059,0.271426151755228,48,56.096,2050,689.95089752,388.301958643249,133390.0674,75071.4646812581,98938.4,55682.1864325724,3517.8,1979.8055702589,10008.1,5632.52377272957,0,"H",15976.572832,282.8798679832,568.054344,6764.49
"Kirkland",1403162.39796,9687332.58728027,0.144845073225047,112,132.344,9558,9421.22968464,972.530838572666,1815749.2475,187435.419517249,2525012.3,260650.935358141,46833.8,4834.54032139807,136352.5,14075.34001455,0,"B",407738.986204,3862.7041707024,7562.722024,92159.6
"L'Île-Bizard–Sainte-Geneviève",10503038.92707,23567123.3201904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",NA,NA,NA,NA
"Lachine",2083917.55505,17910617.239624,0.116350962513995,96,108.799,8534,7586.78545718,423.591513105176,1529593.9887,85401.5229199387,2720391.9,151887.110511279,42145.2,2353.08473382823,155746.9,8695.7862990583,1,"3",439288.884012,3110.5820374438,6805.606896,79451.59
"LaSalle",2142011.93209,16966946.5678711,0.126246164772284,164,176.033,21433,18762.17361244,1105.80731408493,3784289.71635,223038.936393894,7295632.2,429990.874953018,104650.2,6167.8864597928,385272.9,22707.261937723,1,"7",1178098.687656,7692.4911811004,16898.914296,196418.42
"Le Sud-Ouest",2504829.25668,16282415.7640381,0.153836463395822,145,187.248,20233,13681.83217414,840.282693453767,2759816.0142,169496.716838261,3923121.4,240942.219929351,70462.2,4327.5028116912,280648.5,17236.2936843715,1,"10",633505.643672,5609.5511913974,11378.236056,143174.96
"Mercier–Hochelaga-Maisonneuve",3450881.74981,25524190.4851074,0.135200438651462,180,212.665,26471,23886.63147476,935.842862036981,4822442.4496,188936.156561508,8247716.14,323133.309352643,130372.28,5107.79294160448,490924.06,19233.6779607737,1,"16",1331841.2022872,9793.5189046516,21052.5157744,250304.38
"Mont-Royal",1713856.9563,7550125.74072266,0.226997140862976,75,77.227,9671,13363.8985496,1770.02330934966,2577019.83745,341321.446284064,5556387,735933.04148974,72408.9,9590.42305871179,193505.5,25629.4407067026,0,"G",897245.37276,5479.198405336,11692.589172,130804.78
"Montral-Est",655978.85583,12349128.4418945,0.0531194455476377,109,182.129,5376,4489.2319764,363.526219483655,803951.07065,65101.8470196317,1727658.18,139901.223647404,25075.56,2030.55301578457,41875.39,3390.95914315195,0,"J",278982.2429064,1840.585110324,4049.2014288,44594.9
"Montréal-Nord",1502800.72075,10936639.6538086,0.137409731720169,89,113.08,6310,5750.3576829,525.788346779578,1030881.75335,94259.4604907737,1512583.09,138304.190124181,26939.99,2463.27856204153,53484.48,4890.39427950563,1,"6",244251.9173732,2357.646649989,4350.2695852,57293.31
"Montreal-Ouest",378325.3297,1412181.13525391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,NA,NA,NA
"Outremont",1289849.17888,3808812.43664551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",NA,NA,NA,NA
"Pierrefonds-Roxboro",9205819.90561,27138752.5114746,0.339213082904885,161,176.124,15018,8508.20435748,313.507570175992,1718648.75305,63328.2149694734,2400343,88447.064727279,46032.9,1696.20545308915,174833.2,6442.19736799171,1,"1",387607.38764,3488.3637865668,7433.392692,89116.74
"Pointe-Claire",4485489.79203,18922704.9559326,0.237042737942374,131,135.571,24761,22918.1338759,1211.14470311047,4478569.09315,236677.002763597,8469521.8,447585.153376534,124260.1,6566.71973110494,342552.2,18102.7078738341,0,"D",1367658.380264,9396.434889119,20065.520948,224480.33
"Rivière-des-Prairies–Pointe-aux-Trembles",7838849.62262,42461489.5595703,0.184610801550489,177,195.615,21538,13733.32612374,323.430154386675,2768811.2323,65207.586003679,4260636.4,100341.190198301,71870.3,1692.5995942552,281823.4,6637.15293371003,1,"15",688007.565872,5630.6637107334,11605.616044,143665.22
"Rosemont–La Petite-Patrie",3052374.28972,15883582.8015137,0.192171648416069,177,190.884,29632,24916.92211722,1568.72176942632,5027761.00765,316538.218768304,7631671.5,480475.444071266,129715.6,8166.64612896017,511878,32226.8600476726,1,"12",1232362.31382,10215.9380680602,20946.475088,260958.03
"Saint-Laurent",4239273.52222,42934992.1643066,0.0987370279700262,142,154.099,22927,19718.40323378,459.261833758353,3976587.4576,92618.8001241998,6786608.1,158067.062735881,105076.3,2447.33478925271,404878.6,9430.0378220772,1,"2",1095901.475988,8084.5453258498,16967.720924,206150.47
